2D Navier Stokes Equation Using Finite Volume Method
GRID Size:	 32 	 X 32 
Time Step for the simulation: 0.010986
Reynolds number of the simulation:100.000000
Iteration no:	190	 Ures: 	1.5871884143e-04	 Vres: 	1.3906242141e-04	 
Iteration no:	191	 Ures: 	1.5729941249e-04	 Vres: 	1.3804765047e-04	 
Iteration no:	192	 Ures: 	1.5589400114e-04	 Vres: 	1.3702409124e-04	 
Iteration no:	193	 Ures: 	1.5449592353e-04	 Vres: 	1.3598777417e-04	 
Iteration no:	194	 Ures: 	1.5310117107e-04	 Vres: 	1.3493569061e-04	 
Iteration no:	195	 Ures: 	1.5170843563e-04	 Vres: 	1.3386583647e-04	 
Iteration no:	196	 Ures: 	1.5031889024e-04	 Vres: 	1.3277721277e-04	 
Iteration no:	197	 Ures: 	1.4893576920e-04	 Vres: 	1.3166978627e-04	 
Iteration no:	198	 Ures: 	1.4756380275e-04	 Vres: 	1.3054441490e-04	 
Iteration no:	199	 Ures: 	1.4620856672e-04	 Vres: 	1.2940274457e-04	 
Iteration no:	200	 Ures: 	1.4487580938e-04	 Vres: 	1.2824708459e-04	 
Iteration no:	201	 Ures: 	1.4357081410e-04	 Vres: 	1.2708026940e-04	 
Iteration no:	202	 Ures: 	1.4229784926e-04	 Vres: 	1.2590551434e-04	 
Iteration no:	203	 Ures: 	1.4105974607e-04	 Vres: 	1.2472627253e-04	 
Iteration no:	204	 Ures: 	1.3985763119e-04	 Vres: 	1.2354609920e-04	 
Iteration no:	205	 Ures: 	1.3869082627e-04	 Vres: 	1.2236852871e-04	 
Iteration no:	206	 Ures: 	1.3755691075e-04	 Vres: 	1.2119696796e-04	 
Iteration no:	207	 Ures: 	1.3645193071e-04	 Vres: 	1.2003460884e-04	 
Iteration no:	208	 Ures: 	1.3537072490e-04	 Vres: 	1.1888436074e-04	 
Iteration no:	209	 Ures: 	1.3430733152e-04	 Vres: 	1.1774880291e-04	 
Iteration no:	210	 Ures: 	1.3325543567e-04	 Vres: 	1.1663015538e-04	 
Iteration no:	211	 Ures: 	1.3220881776e-04	 Vres: 	1.1553026638e-04	 
Iteration no:	212	 Ures: 	1.3116176700e-04	 Vres: 	1.1445061332e-04	 
Iteration no:	213	 Ures: 	1.3010943101e-04	 Vres: 	1.1339231450e-04	 
Iteration no:	214	 Ures: 	1.2904808008e-04	 Vres: 	1.1235614829e-04	 
Iteration no:	215	 Ures: 	1.2797527422e-04	 Vres: 	1.1134257703e-04	 
Iteration no:	216	 Ures: 	1.2688992902e-04	 Vres: 	1.1035177321e-04	 
Iteration no:	217	 Ures: 	1.2579228463e-04	 Vres: 	1.0938364588e-04	 
Iteration no:	218	 Ures: 	1.2468378851e-04	 Vres: 	1.0843786627e-04	 
Iteration no:	219	 Ures: 	1.2356690763e-04	 Vres: 	1.0751389163e-04	 
Iteration no:	220	 Ures: 	1.2244488920e-04	 Vres: 	1.0661098735e-04	 
Iteration no:	221	 Ures: 	1.2132149112e-04	 Vres: 	1.0572824751e-04	 
Iteration no:	222	 Ures: 	1.2020070320e-04	 Vres: 	1.0486461456e-04	 
Iteration no:	223	 Ures: 	1.1908647933e-04	 Vres: 	1.0401889878e-04	 
Iteration no:	224	 Ures: 	1.1798249824e-04	 Vres: 	1.0318979835e-04	 
Iteration no:	225	 Ures: 	1.1689196705e-04	 Vres: 	1.0237592061e-04	 
Iteration no:	226	 Ures: 	1.1581747729e-04	 Vres: 	1.0157580504e-04	 
Iteration no:	227	 Ures: 	1.1476091875e-04	 Vres: 	1.0078794804e-04	 
Iteration no:	228	 Ures: 	1.1372345133e-04	 Vres: 	1.0001082940e-04	 
Iteration no:	229	 Ures: 	1.1270553093e-04	 Vres: 	9.9242940028e-05	 
Iteration no:	230	 Ures: 	1.1170698140e-04	 Vres: 	9.8482810255e-05	 
Iteration no:	231	 Ures: 	1.1072710194e-04	 Vres: 	9.7729037833e-05	 
Iteration no:	232	 Ures: 	1.0976479759e-04	 Vres: 	9.6980314623e-05	 
Iteration no:	233	 Ures: 	1.0881871985e-04	 Vres: 	9.6235450969e-05	 
Iteration no:	234	 Ures: 	1.0788740537e-04	 Vres: 	9.5493396797e-05	 
Iteration no:	235	 Ures: 	1.0696940174e-04	 Vres: 	9.4753258605e-05	 
Iteration no:	236	 Ures: 	1.0606337231e-04	 Vres: 	9.4014311710e-05	 
Iteration no:	237	 Ures: 	1.0516817406e-04	 Vres: 	9.3276007340e-05	 
Iteration no:	238	 Ures: 	1.0428290591e-04	 Vres: 	9.2537974425e-05	 
Iteration no:	239	 Ures: 	1.0340692716e-04	 Vres: 	9.1800016190e-05	 
Iteration no:	240	 Ures: 	1.0253984862e-04	 Vres: 	9.1062101890e-05	 
Iteration no:	241	 Ures: 	1.0168150075e-04	 Vres: 	9.0324354239e-05	 
Iteration no:	242	 Ures: 	1.0083188442e-04	 Vres: 	8.9587033254e-05	 
Iteration no:	243	 Ures: 	9.9991110982e-05	 Vres: 	8.8850517331e-05	 
Iteration no:	244	 Ures: 	9.9159338374e-05	 Vres: 	8.8115282461e-05	 
Iteration no:	245	 Ures: 	9.8336709501e-05	 Vres: 	8.7381880476e-05	 
Iteration no:	246	 Ures: 	9.7523298487e-05	 Vres: 	8.6650917186e-05	 
Iteration no:	247	 Ures: 	9.6719069017e-05	 Vres: 	8.5923031183e-05	 
Iteration no:	248	 Ures: 	9.5923847603e-05	 Vres: 	8.5198873975e-05	 
Iteration no:	249	 Ures: 	9.5137313019e-05	 Vres: 	8.4479091971e-05	 
Iteration no:	250	 Ures: 	9.4359001672e-05	 Vres: 	8.3764310692e-05	 
Iteration no:	251	 Ures: 	9.3588327293e-05	 Vres: 	8.3055121428e-05	 
Iteration no:	252	 Ures: 	9.2824612272e-05	 Vres: 	8.2352070424e-05	 
Iteration no:	253	 Ures: 	9.2067127154e-05	 Vres: 	8.1655650556e-05	 
Iteration no:	254	 Ures: 	9.1315134460e-05	 Vres: 	8.0966295340e-05	 
Iteration no:	255	 Ures: 	9.0567932892e-05	 Vres: 	8.0284375059e-05	 
Iteration no:	256	 Ures: 	8.9824898300e-05	 Vres: 	7.9610194733e-05	 
Iteration no:	257	 Ures: 	8.9085518309e-05	 Vres: 	7.8943993641e-05	 
Iteration no:	258	 Ures: 	8.8349418274e-05	 Vres: 	7.8285946097e-05	 
Iteration no:	259	 Ures: 	8.7616377054e-05	 Vres: 	7.7636163226e-05	 
Iteration no:	260	 Ures: 	8.6886332055e-05	 Vres: 	7.6994695477e-05	 
Iteration no:	261	 Ures: 	8.6159373783e-05	 Vres: 	7.6361535722e-05	 
Iteration no:	262	 Ures: 	8.5435730987e-05	 Vres: 	7.5736622760e-05	 
Iteration no:	263	 Ures: 	8.4715748030e-05	 Vres: 	7.5119845165e-05	 
Iteration no:	264	 Ures: 	8.3999856599e-05	 Vres: 	7.4511045396e-05	 
Iteration no:	265	 Ures: 	8.3288544101e-05	 Vres: 	7.3910024155e-05	 
Iteration no:	266	 Ures: 	8.2582321134e-05	 Vres: 	7.3316544992e-05	 
Iteration no:	267	 Ures: 	8.1881690302e-05	 Vres: 	7.2730339137e-05	 
Iteration no:	268	 Ures: 	8.1187118334e-05	 Vres: 	7.2151110585e-05	 
Iteration no:	269	 Ures: 	8.0499013081e-05	 Vres: 	7.1578541398e-05	 
Iteration no:	270	 Ures: 	7.9817706456e-05	 Vres: 	7.1012297213e-05	 
Iteration no:	271	 Ures: 	7.9143443866e-05	 Vres: 	7.0452032892e-05	 
Iteration no:	272	 Ures: 	7.8476380151e-05	 Vres: 	6.9897398240e-05	 
Iteration no:	273	 Ures: 	7.7816581609e-05	 Vres: 	6.9348043712e-05	 
Iteration no:	274	 Ures: 	7.7164033225e-05	 Vres: 	6.8803625987e-05	 
Iteration no:	275	 Ures: 	7.6518650016e-05	 Vres: 	6.8263813293e-05	 
Iteration no:	276	 Ures: 	7.5880291150e-05	 Vres: 	6.7728290367e-05	 
Iteration no:	277	 Ures: 	7.5248775483e-05	 Vres: 	6.7196762933e-05	 
Iteration no:	278	 Ures: 	7.4623897208e-05	 Vres: 	6.6668961593e-05	 
Iteration no:	279	 Ures: 	7.4005440440e-05	 Vres: 	6.6144645045e-05	 
Iteration no:	280	 Ures: 	7.3393191804e-05	 Vres: 	6.5623602566e-05	 
Iteration no:	281	 Ures: 	7.2786950354e-05	 Vres: 	6.5105655729e-05	 
Iteration no:	282	 Ures: 	7.2186534447e-05	 Vres: 	6.4590659327e-05	 
Iteration no:	283	 Ures: 	7.1591785482e-05	 Vres: 	6.4078501539e-05	 
Iteration no:	284	 Ures: 	7.1002568697e-05	 Vres: 	6.3569103372e-05	 
Iteration no:	285	 Ures: 	7.0418771399e-05	 Vres: 	6.3062417428e-05	 
Iteration no:	286	 Ures: 	6.9840299202e-05	 Vres: 	6.2558426101e-05	 
Iteration no:	287	 Ures: 	6.9267070932e-05	 Vres: 	6.2057139267e-05	 
Iteration no:	288	 Ures: 	6.8699012884e-05	 Vres: 	6.1558591576e-05	 
Iteration no:	289	 Ures: 	6.8136053099e-05	 Vres: 	6.1062839455e-05	 
Iteration no:	290	 Ures: 	6.7578116258e-05	 Vres: 	6.0569957895e-05	 
Iteration no:	291	 Ures: 	6.7025119653e-05	 Vres: 	6.0080037135e-05	 
