2D Navier Stokes Equation Using Finite Volume Method
GRID Size:	 32 	 X 32 
Time Step for the simulation: 0.010986
Reynolds number of the simulation:100.000000
Iteration no:	165	 Ures: 	9.0995777256e-04	 Vres: 	7.6094020348e-04	 
Iteration no:	166	 Ures: 	9.0195717728e-04	 Vres: 	7.5649566082e-04	 
Iteration no:	167	 Ures: 	8.9358247344e-04	 Vres: 	7.5182721903e-04	 
Iteration no:	168	 Ures: 	8.8503457243e-04	 Vres: 	7.4690490843e-04	 
Iteration no:	169	 Ures: 	8.7649026500e-04	 Vres: 	7.4171845717e-04	 
Iteration no:	170	 Ures: 	8.6810940995e-04	 Vres: 	7.3627041416e-04	 
Iteration no:	171	 Ures: 	8.6001024849e-04	 Vres: 	7.3060765731e-04	 
Iteration no:	172	 Ures: 	8.5228794192e-04	 Vres: 	7.2480344110e-04	 
Iteration no:	173	 Ures: 	8.4499059240e-04	 Vres: 	7.1897125677e-04	 
Iteration no:	174	 Ures: 	8.3813947436e-04	 Vres: 	7.1322238623e-04	 
Iteration no:	175	 Ures: 	8.3170518474e-04	 Vres: 	7.0766728617e-04	 
Iteration no:	176	 Ures: 	8.2563572632e-04	 Vres: 	7.0237267948e-04	 
Iteration no:	177	 Ures: 	8.1984319492e-04	 Vres: 	6.9737770393e-04	 
Iteration no:	178	 Ures: 	8.1424495854e-04	 Vres: 	6.9266963029e-04	 
Iteration no:	179	 Ures: 	8.0875786593e-04	 Vres: 	6.8821702230e-04	 
Iteration no:	180	 Ures: 	8.0333812811e-04	 Vres: 	6.8395550347e-04	 
Iteration no:	181	 Ures: 	7.9796395088e-04	 Vres: 	6.7982495754e-04	 
Iteration no:	182	 Ures: 	7.9265725768e-04	 Vres: 	6.7575626527e-04	 
Iteration no:	183	 Ures: 	7.8744927654e-04	 Vres: 	6.7170646920e-04	 
Iteration no:	184	 Ures: 	7.8239059971e-04	 Vres: 	6.6764224681e-04	 
Iteration no:	185	 Ures: 	7.7751462050e-04	 Vres: 	6.6356708365e-04	 
Iteration no:	186	 Ures: 	7.7285097343e-04	 Vres: 	6.5949569631e-04	 
Iteration no:	187	 Ures: 	7.6839800336e-04	 Vres: 	6.5546953937e-04	 
Iteration no:	188	 Ures: 	7.6414485159e-04	 Vres: 	6.5152427887e-04	 
Iteration no:	189	 Ures: 	7.6005431013e-04	 Vres: 	6.4770114615e-04	 
Iteration no:	190	 Ures: 	7.5609101589e-04	 Vres: 	6.4401839225e-04	 
Iteration no:	191	 Ures: 	7.5220915472e-04	 Vres: 	6.4048797836e-04	 
Iteration no:	192	 Ures: 	7.4837808181e-04	 Vres: 	6.3709583699e-04	 
Iteration no:	193	 Ures: 	7.4456587510e-04	 Vres: 	6.3382272210e-04	 
Iteration no:	194	 Ures: 	7.4075605000e-04	 Vres: 	6.3062857935e-04	 
Iteration no:	195	 Ures: 	7.3692642129e-04	 Vres: 	6.2747303728e-04	 
Iteration no:	196	 Ures: 	7.3306210214e-04	 Vres: 	6.2430274300e-04	 
Iteration no:	197	 Ures: 	7.2913806288e-04	 Vres: 	6.2107370657e-04	 
